Name	Beruf
Mayer, Zoe	Wirtschaftsingenieurin
Mayer-Lay, Volker	Rechtsanwalt, Mediator
Mehltretter, Andreas	Volkswirt
Mehmet Ali, Takis	Verwaltungsleiter
Meiser, Pascal	Diplom-Politikwissenschaftler
Meister, Dr. Michael	Diplom-Mathematiker
Menge, Susanne	Studienrätin
Merten, Anikó	Kunstwissenschaftlerin
Merz, Friedrich	Rechtsanwalt
Mesarosch, Robin	parl. Referent
Metzler, Jan	Winzer, Diplom-Betriebswirt (FH)
Meyer, Christoph	Rechtsanwalt
Miazga, Corinna	Angestellte
Michaelsen, Swantje Henrike	Geschäftsstellenleitung
Michel, Kathrin	Teamleiterin
Middelberg, Dr. Mathias	Rechtsanwalt
Miersch, Dr. Matthias	Rechtsanwalt
Mieves, Matthias David	Diplom-Kaufmann
Mihalic, Dr. Irene	Polizeibeamtin
Mijatović, Boris	Angestellter
Mittag, Susanne	Polizeibeamtin
Möhring, Cornelia	Diplom-Sozialökonomin
Möller, Siemtje	Lehrerin 
Mörseburg, Maximilian	Rechtsanwalt
Mohamed Ali, Amira	Rechtsanwältin
Mohrs, Falko	Diplom-Kaufmann (FH)
Moll, Claudia	Altenpflegerin
Moncsek, Mike	Angestellter
Monstadt, Dietrich	Rechtsanwalt
Moosdorf, Matthias	Musiker
Mordhorst, Maximilian	Student
Müller, Alexander	Diplom-Informatiker
Müller, Axel	Richter
Müller, Bettina	
Müller (Braunschweig), Carsten	Bankkaufmann / Rechtsanwalt
Müller, Claudia	Betriebswirtin
Müller (Chemnitz), Detlef	Lokomotivführer
Müller, Florian	Referent für Strategie und Regulierung
Müller, Michael	
Müller, Sascha	Sportjournalist
Müller, Sepp	Diplomierter Bankbetriebswirt
Müller (Erlangen), Stefan	
Müller-Gemmeke, Beate	Diplom-Sozialpädagogin (FH)
Müller-Rosentritt, Frank	Diplom-Betriebswirt
Müntefering, Michelle	Journalistin
Münzenmaier, Sebastian	Versicherungs- und Finanzanlagenfachmann
Mützenich, Dr. Rolf	Politikwissenschaftler
Nacke, Dr. Stefan	
Nanni, Sara	Friedens- und Konfliktforscherin
Nasr, Rasha	Büroleiterin
Nastic, Zaklin	
Naujok, Edgar	Unternehmer
Nestle, Dr. Ingrid	Diplom-Wirtschaftsingenieurin
Nick, Dr. Ophelia	Tierärztin
Nickholz, Brian	Geschäftsführer
Nicolaisen, Petra	Industriekauffrau
Nietan, Dietmar	
Nolte, Jan Ralf	Soldat
Notz, Dr. Konstantin von	Rechtsanwalt
Nouripour, Omid	selbständig
Nürnberger, Jörg	Rechtsanwalt
Oehl, Lennard	Volkswirt
Oellers, Wilfried	Rechtsanwalt
Oppelt, Moritz	Jurist
Ortleb, Josephine	Fachwirtin im Gastgewerbe
Oßner, Florian	Diplom-Volkswirt (Univ.)
Oster, Josef	Diplom-Verwaltungswirt (FH)
Otte, Henning	Jurist, Prokorist
Otte, Karoline	Verwaltungsbetriebswirtin
Otten, Gerold	Berufssoldat a.D.
Lutze, Thomas	Maschinenbauer, Bürokaufmann
Pahlke, Julian	Referent
Pantazis, Dr. Christos	Arzt
Papenbrock, Wiebke	Referentin
Papendieck, Mathias	Informatiker
Pau, Petra	Lehrerin
Paus, Lisa	Diplom-Volkswirtin
Pawlik, Natalie	ltd. Angestellte
Peick, Jens	Dipl.-Verwaltungswirt (FH)
Pellmann, Sören	Grund- und Förderschullehrer
Perli, Victor	Politikwissenschaftler
Peterka, Tobias Matthias	Diplom-Jurist
Petry, Christian	Diplom-Verwaltungswirt
Philippi, Dr. Andreas	Facharzt Chirurgie
Piechotta, Dr. med. Paula	Ärztin
Pilsinger, Stephan	Arzt
Plobner, Jan	Standesbeamter
Ploß, Dr. Christoph	Historiker
Plum, Dr. Martin	Richter
Pohl, Jürgen	Rechtsanwalt
Polat, Filiz	Diplom-Volkswirtin
Poschmann, Sabine	Betriebswirtin (VWA)
Post (Minden), Achim	Diplom-Soziologe
Protschka, Stephan	
Rachel, Thomas	Politikwissenschaftler
Radomski, Kerstin	Lehrerin
Radwan, Alexander	Diplom-Ingenieur
Raffelhüschen, Claudia	Volkswirtin
Rainer, Alois	Metzgermeister
Ramsauer, Dr. Peter	Müllermeister / Diplom-Kaufmann
Redder, Dr. Volker	Unternehmer
Rehbaum, Henning	Diplom-Betriebswirt (FH)
Reichardt, Martin	Offizier
Reichel, Dr. Markus	Diplom-Mathematiker
Reichinnek, Heidi	pädagogische Mitarbeiterin Jugendhilfe
Reinalter, Prof. Dr. Anja	Professorin für Soziale Arbeit
Reinhold, Hagen	Meister im Maurer- und Betonhandwerk
Renner, Martin Erwin	Diplom-Betriebswirt
Renner, Martina	
Reuther, Bernd	Diplom-Sozialwissenschaftler
Rhie, Ye-One	Kommunikationswissenschaftlerin
Rief, Josef	Landwirtschaftsmeister
Riexinger, Bernd	Bankkaufmann
Rimkus, Andreas	Elektromeister in der Energiewirtschaft
Rinck, Frank	Landwirt
Rix, Sönke	Erzieher
Rößner, Tabea	Journalistin
Röttgen, Dr. Norbert	Rechtsanwalt
Röwekamp, Thomas	Rechtsanwalt,  Notar
Rohde, Dennis	Rechtsanwalt
Rohwer, Lars	Bankkaufmann
Roloff, Sebastian	Rechtsanwalt
Rosemann, Dr. Martin	Diplom-Volkswirt
Rosenthal, Jessica	Gesamtschullehrerin
Roth (Augsburg), Claudia	
Roth (Heringen), Michael	Diplom-Politologe
Rottmann, Dr. Manuela	Juristin
Rouenhoff, Stefan	Diplom-Volkswirt
Rudolph, Dr. Thorsten	Beamter
Rudolph, Tina	Ärztin
Rüddel, Erwin	Diplom-Betriebswirt
Rüffer, Corinna	
Rützel, Bernd	
Rupprecht, Albert	Diplom-Volkswirt
Ryglewski, Sarah	Diplom-Politikwissenschaftlerin
Saathoff, Johann	Diplom-Verwaltungswirt (FH)
Saleh, Kassem Taher	Diplom-Bauingenieur
Santos Firnhaber, Catarina dos	Rechtsanwältin
Sattelberger, Dr. h. c. Thomas	Diplom-Betriebswirt
Sauter, Christian	Diplom-Wirtschaftsingenieur (FH)
Schäfer (Bochum), Axel	
Schäfer, Ingo	Feuerwehrmann
Schäfer, Jamila	Studentin der Soziologie
Schäfer, Dr. Sebastian	Ministerialbeamter
Schäffler, Frank	Diplom-Betriebswirt (FH)
Schätzl, Johannes	Informatiker
Schäuble, Dr. Wolfgang	
Schamber, Rebecca	Dipl.-Juristin
Schattner, Bernd	geschäftsführender Gesellschafter
Schauws, Ulle	Film- und Fernsehwissenschaftlerin
Scheer, Dr. Nina	Juristin / Politikwissenschaftlerin / Musikerin
Schenderlein, Dr. Christiane	Politikwissenschaftlerin
Scheuer, Andreas	
Schieder, Marianne	Juristin
Schiefner, Udo	
Schielke-Ziesing, Ulrike	Verwaltungswirtin
Schierenbeck, Peggy	Coach Führung und Verantwortung
Schimke, Jana	Diplom-Politikwissenschaftlerin
Schisanowski, Timo	Wirtschaftsjurist
Schmid, Christoph	
