Name	Partei	Beruf
Kiesewetter, Roderich	CDU/CSU	Diplom-Kaufmann
Kießling, Michael	CDU/CSU	Diplom-Bauingenieur (FH)
Kindler, Sven-Christian	Grüne	Betriebswirt
Kippels, Dr. Georg	CDU/CSU	Rechtsanwalt
Kipping, Katja	Die Linke	Literaturwissenschaftlerin
Kiziltepe, Cansel	SPD	Diplom-Volkswirtin
Kleebank, Helmut	SPD	Krankenpfleger, Lehrer
Klein, Dr. Ottilie	CDU/CSU	Abteilungsdirektorin
Klein, Karsten	FDP	Diplom-Kaufmann
Klein-Schmeink, Maria	Grüne	Soziologin
Klein, Volkmar	CDU/CSU	Diplom-Volkswirt
Kleinwächter, Norbert	AfD	Lehrer
Klinck, Dr. Kristian	SPD	Studienrat
Klingbeil, Lars	SPD	Politikwissenschaftler
Klöckner, Julia	CDU/CSU	Chefredakteurin
Klose, Annika	SPD	Sozialwissenschaftlerin
Kluckert, Daniela	FDP	Diplom-Volkswirtin
Klüssendorf, Tim	SPD	Volks- und Betriebswirt
Knoerig, Axel	CDU/CSU	Politik- und Kommunikationswissenschaftler
Kober, Pascal	FDP	Militärseelsorger
Koeppen, Jens	CDU/CSU	Elektromeister
Kofler, Dr. Bärbel	SPD	Sprachwissenschaftlerin
Köhler, Dr. Lukas	FDP	Philosoph
Komning, Enrico	AfD	Rechtsanwalt
König, Anne	CDU/CSU	Gesamtschulrektorin
König, Jörn	AfD	Diplom-Ingenieur (MBA)
Konrad, Carina	FDP	Diplom-Ingenieurin (FH)
Koob, Markus	CDU/CSU	
Kopf, Chantal	Grüne	Politikwissenschaftlerin
Körber, Carsten	CDU/CSU	Wirtschafts- und Unternehmensberater
Korte, Jan	Die Linke	Politikwissenschaftler (M. A.)
Koß, Simona	SPD	Lehrerin
Kotré, Steffen	AfD	Diplom-Ingenieur
Kraft, Dr. Rainer	AfD	Diplom-Chemiker
Kraft, Laura	Grüne	wiss. Mitarbeiterin
Krämer, Philip	Grüne	Politiker
Kramme, Anette	SPD	
Kreiser, Dunja	SPD	Abwassermeisterin
Krichbaum, Gunther	CDU/CSU	
Krings, Dr. Günter	CDU/CSU	Jurist
Krischer, Oliver	Grüne	
Kröber, Martin	SPD	Geschäftsstellenleiter
Kruse, Michael	FDP	Unternehmer
Kuban, Tilman Moritz	CDU/CSU	Rechtsanwalt
Kubicki, Wolfgang	FDP	Rechtsanwalt / Diplom-Volkswirt
Kuhle, Konstantin	FDP	Rechtsanwalt
Kühnert, Kevin	SPD	Angestellter
Kühn (Tübingen), Christian	Grüne	Politologe
Künast, Renate	Grüne	Rechtsanwältin
